obs_E(eV),unc_obs_E,ritz_wn(eV),unc_ritz_wn,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""0.1352911784""","=""0.0000000009""","=""""","=""1.0673e+04""",AAA,"=""[24.1689982232]""","=""[24.30428940164]""","=""1s.6s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1352909783""","=""0.0000000009""","=""""","=""1.0673e+04""",AAA,"=""[24.1689982232]""","=""[24.30428920147]""","=""1s.6s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1323040876""","=""0.0000000004""","=""""","=""5.3540e+03""",AAA,"=""[24.2845660369]""","=""[24.41687012452]""","=""1s.7s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1323029423""","=""0.0000000004""","=""""","=""5.3540e+03""",AAA,"=""[24.2845660369]""","=""[24.41686897915]""","=""1s.7s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1323028491""","=""0.0000000004""","=""""","=""5.3540e+03""",AAA,"=""[24.2845660369]""","=""[24.41686888593]""","=""1s.7s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1216034086""","=""0.0000000004""","=""""","=""1.3311e+04""",AAA,"=""[24.2982859057]""","=""[24.419889314325]""","=""1s.7s""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1195479035""","=""0.0000000009""","=""""","=""3.3283e+04""",AAA,"=""[24.1911602752]""","=""[24.31070817873]""","=""1s.6s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.11507371564""","=""0.00000000016""","=""""","=""2.486e+00""",AA,"=""[24.30428940164]""","=""[24.419363117280]""","=""1s.7p""","=""3P*""","=""1""","=""1s.9d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.11504657825""","=""0.00000000016""","=""""","=""1.2631e+03""",AAA,"=""[24.30428920147]""","=""[24.419335779720]""","=""1s.7p""","=""3P*""","=""2""","=""1s.9d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.11504637808""","=""0.00000000016""","=""""","=""1.8947e+04""",AAA,"=""[24.30428940164]""","=""[24.419335779720]""","=""1s.7p""","=""3P*""","=""1""","=""1s.9d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.11504637778""","=""0.00000000016""","=""""","=""1.1367e+04""",AAA,"=""[24.30428920147]""","=""[24.419335579246]""","=""1s.7p""","=""3P*""","=""2""","=""1s.9d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.11504636355""","=""0.00000000016""","=""""","=""4.5473e+04""",AAA,"=""[24.30428920147]""","=""[24.419335565023]""","=""1s.7p""","=""3P*""","=""2""","=""1s.9d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.11504617760""","=""0.00000000016""","=""""","=""3.4102e+04""",AAA,"=""[24.30428940164]""","=""[24.419335579246]""","=""1s.7p""","=""3P*""","=""1""","=""1s.9d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.11504392025""","=""0.00000000016""","=""""","=""2.5263e+04""",AAA,"=""[24.30429185947]""","=""[24.419335779720]""","=""1s.7p""","=""3P*""","=""0""","=""1s.9d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.113947309""","=""0.000000003""","=""""","=""2.2825e+05""",AAA,"=""[23.593958713]""","=""[23.7079060221]""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.113933631""","=""0.000000003""","=""""","=""2.2825e+05""",AAA,"=""[23.593958713]""","=""[23.7078923433]""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.113932515""","=""0.000000003""","=""""","=""2.2825e+05""",AAA,"=""[23.593958713]""","=""[23.7078912279]""","=""1s.4s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.11034838716""","=""0.00000000009""","=""""","=""1.288e+00""",AA,"=""[24.309540927161]""","=""[24.419889314325]""","=""1s.7d""","=""3D""","=""2""","=""1s.9p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.11029193302""","=""0.00000000009""","=""""","=""1.6163e+04""",AAA,"=""[24.309597381304]""","=""[24.419889314325]""","=""1s.7d""","=""1D""","=""2""","=""1s.9p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109884043024""","=""0.000000000009""","=""""","=""1.977e+03""",AA,"=""[24.309540897300]""","=""[24.4194249403235]""","=""1s.7d""","=""3D""","=""3""","=""1s.9f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109884013162""","=""0.000000000009""","=""""","=""1.525e+04""",AA,"=""[24.309540927161]""","=""[24.4194249403235]""","=""1s.7d""","=""3D""","=""2""","=""1s.9f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109883893949""","=""0.000000000009""","=""""","=""3.4783e+02""",AAA,"=""[24.309540897300]""","=""[24.4194247912483]""","=""1s.7d""","=""3D""","=""3""","=""1s.9f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109883864087""","=""0.000000000009""","=""""","=""1.2173e+04""",AAA,"=""[24.309540927161]""","=""[24.4194247912483]""","=""1s.7d""","=""3D""","=""2""","=""1s.9f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109883800254""","=""0.000000000009""","=""""","=""7.8261e+04""",AAA,"=""[24.309540897300]""","=""[24.4194246975540]""","=""1s.7d""","=""3D""","=""3""","=""1s.9f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109883749107""","=""0.000000000009""","=""""","=""6.7191e+03""",AAA,"=""[24.309540897300]""","=""[24.4194246464065]""","=""1s.7d""","=""3D""","=""3""","=""1s.9f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109883719245""","=""0.000000000009""","=""""","=""5.4320e+04""",AAA,"=""[24.309540927161]""","=""[24.4194246464065]""","=""1s.7d""","=""3D""","=""2""","=""1s.9f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109883437648""","=""0.000000000009""","=""""","=""6.5739e+04""",AAA,"=""[24.309541353601]""","=""[24.4194247912483]""","=""1s.7d""","=""3D""","=""1""","=""1s.9f""","=""3F*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109827559020""","=""0.000000000009""","=""""","=""6.1082e+04""",AAA,"=""[24.309597381304]""","=""[24.4194249403235]""","=""1s.7d""","=""1D""","=""2""","=""1s.9f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109827409945""","=""0.000000000009""","=""""","=""1.030e+00""",AA,"=""[24.309597381304]""","=""[24.4194247912483]""","=""1s.7d""","=""1D""","=""2""","=""1s.9f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.109827265103""","=""0.000000000009""","=""""","=""1.724e+04""",AA,"=""[24.309597381304]""","=""[24.4194246464065]""","=""1s.7d""","=""1D""","=""2""","=""1s.9f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097090152623""","=""0.0000000000016""","=""""","=""5.081e+03""",AA,"=""[24.3097272911601]""","=""[24.41943630642235]""","=""1s.7f""","=""3F*""","=""3""","=""1s.9g""","=""1G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097089790602""","=""0.0000000000016""","=""""","=""6.2262e+03""",AAA,"=""[24.3097272911601]""","=""[24.4194362702203]""","=""1s.7f""","=""3F*""","=""3""","=""1s.9g""","=""3G""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097088980331""","=""0.0000000000016""","=""""","=""3.092e+03""",AA,"=""[24.3097274083893]""","=""[24.41943630642235]""","=""1s.7f""","=""3F*""","=""4""","=""1s.9g""","=""1G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097088667718""","=""0.0000000000016""","=""""","=""9.3169e+04""",AAA,"=""[24.3097272911601]""","=""[24.4194361579319]""","=""1s.7f""","=""3F*""","=""3""","=""1s.9g""","=""3G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097088618311""","=""0.0000000000016""","=""""","=""1.3150e+02""",AAA,"=""[24.3097274083893]""","=""[24.4194362702203]""","=""1s.7f""","=""3F*""","=""4""","=""1s.9g""","=""3G""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097088082942""","=""0.0000000000016""","=""""","=""1.0309e+05""",AAA,"=""[24.3097274083893]""","=""[24.41943621668346]""","=""1s.7f""","=""3F*""","=""4""","=""1s.9g""","=""3G""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097087495427""","=""0.0000000000016""","=""""","=""3.3514e+03""",AAA,"=""[24.3097274083893]""","=""[24.4194361579319]""","=""1s.7f""","=""3F*""","=""4""","=""1s.9g""","=""3G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097086626523""","=""0.0000000000016""","=""""","=""9.4677e+04""",AAA,"=""[24.3097276075680]""","=""[24.4194362702203]""","=""1s.7f""","=""3F*""","=""2""","=""1s.9g""","=""3G""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097084093522""","=""0.0000000000016""","=""""","=""9.4919e+04""",AAA,"=""[24.3097278970701]""","=""[24.41943630642235]""","=""1s.7f""","=""1F*""","=""3""","=""1s.9g""","=""1G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097083731502""","=""0.0000000000016""","=""""","=""2.058e+03""",AA,"=""[24.3097278970701]""","=""[24.4194362702203]""","=""1s.7f""","=""1F*""","=""3""","=""1s.9g""","=""3G""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1097082608618""","=""0.0000000000016""","=""""","=""6.573e+03""",AA,"=""[24.3097278970701]""","=""[24.4194361579319]""","=""1s.7f""","=""1F*""","=""3""","=""1s.9g""","=""3G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1096878710577""","=""0.0000000000004""","=""""","=""3.934e+00""",AA,"=""[24.3097511655788]""","=""[24.41943903663648]""","=""1s.7g""","=""3G""","=""4""","=""1s.9h""","=""1H*""","=""5""",9,11,,"=""T8636c73""","=""""",
